title,year,certificate,runtime,genre,rating,metascore
The Shawshank Redemption,(1994),R,142 min,Drama ,9.3,80
The Godfather,(1972),R,175 min,"Crime, Drama ",9.2,100
The Dark Knight,(2008),PG-13,152 min,"Action, Crime, Drama ",9.0,84
The Godfather: Part II,(1974),R,202 min,"Crime, Drama ",9.0,90
12 Angry Men,(1957),Approved,96 min,"Crime, Drama ",9.0,96
Soorarai Pottru,(2020),TV-MA,153 min,Drama ,8.9,
The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,"Action, Adventure, Drama ",8.9,94
Pulp Fiction,(1994),R,154 min,"Crime, Drama ",8.9,94
Schindler's List,(1993),R,195 min,"Biography, Drama, History ",8.9,94
Inception,(2010),PG-13,148 min,"Action, Adventure, Sci-Fi ",8.8,74
Fight Club,(1999),R,139 min,Drama ,8.8,66
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,"Action, Adventure, Drama ",8.8,92
Forrest Gump,(1994),PG-13,142 min,"Drama, Romance ",8.8,82
"The Good, the Bad and the Ugly",(1966),R,178 min,Western ,8.8,90
The Lord of the Rings: The Two Towers,(2002),PG-13,179 min,"Action, Adventure, Drama ",8.7,87
The Matrix,(1999),R,136 min,"Action, Sci-Fi ",8.7,73
Goodfellas,(1990),R,146 min,"Biography, Crime, Drama ",8.7,90
Star Wars: Episode V - The Empire Strikes Back,(1980),PG,124 min,"Action, Adventure, Fantasy ",8.7,82
One Flew Over the Cuckoo's Nest,(1975),R,133 min,Drama ,8.7,83
Hamilton,(2020),PG-13,160 min,"Biography, Drama, History ",8.6,90
Parasite,(2019),R,132 min,"Comedy, Drama, Thriller ",8.6,96
Interstellar,(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi ",8.6,74
City of God,(2002),R,130 min,"Crime, Drama ",8.6,79
Spirited Away,(2001),PG,125 min,"Animation, Adventure, Family ",8.6,96
Saving Private Ryan,(1998),R,169 min,"Drama, War ",8.6,91
The Green Mile,(1999),R,189 min,"Crime, Drama, Fantasy ",8.6,61
Life Is Beautiful,(1997),PG-13,116 min,"Comedy, Drama, Romance ",8.6,59
Se7en,(1995),R,127 min,"Crime, Drama, Mystery ",8.6,65
The Silence of the Lambs,(1991),R,118 min,"Crime, Drama, Thriller ",8.6,85
Star Wars: Episode IV - A New Hope,(1977),PG,121 min,"Action, Adventure, Fantasy ",8.6,90
Harakiri,(1962),Not Rated,133 min,"Action, Drama, Mystery ",8.6,85
Seven Samurai,(1954),Not Rated,207 min,"Action, Adventure, Drama ",8.6,98
It's a Wonderful Life,(1946),PG,130 min,"Drama, Family, Fantasy ",8.6,89
Joker,(2019),R,122 min,"Crime, Drama, Thriller ",8.5,59
Vikram Vedha,(2017),Not Rated,147 min,"Action, Crime, Drama ",8.5,
Whiplash,(2014),R,106 min,"Drama, Music ",8.5,88
The Intouchables,(2011),R,112 min,"Biography, Comedy, Drama ",8.5,57
The Prestige,(2006),PG-13,130 min,"Drama, Mystery, Sci-Fi ",8.5,66
The Departed,(2006),R,151 min,"Crime, Drama, Thriller ",8.5,85
The Pianist,(2002),R,150 min,"Biography, Drama, Music ",8.5,85
Gladiator,(2000),R,155 min,"Action, Adventure, Drama ",8.5,67
American History X,(1998),R,119 min,Drama ,8.5,62
The Usual Suspects,(1995),R,106 min,"Crime, Mystery, Thriller ",8.5,77
Léon: The Professional,(1994),R,110 min,"Action, Crime, Drama ",8.5,64
The Lion King,(1994),G,88 min,"Animation, Adventure, Drama ",8.5,88
Terminator 2: Judgment Day,(1991),R,137 min,"Action, Sci-Fi ",8.5,75
Cinema Paradiso,(1988),R,155 min,Drama ,8.5,80
Grave of the Fireflies,(1988),Not Rated,89 min,"Animation, Drama, War ",8.5,94
Back to the Future,(1985),PG,116 min,"Adventure, Comedy, Sci-Fi ",8.5,87
Once Upon a Time in the West,(1968),PG-13,165 min,Western ,8.5,80
Psycho,(1960),R,109 min,"Horror, Mystery, Thriller ",8.5,97
Casablanca,(1942),PG,102 min,"Drama, Romance, War ",8.5,100
Modern Times,(1936),G,87 min,"Comedy, Drama, Family ",8.5,96
City Lights,(1931),G,87 min,"Comedy, Drama, Romance ",8.5,99
Capernaum,(2018),R,126 min,Drama ,8.4,75
Ayla: The Daughter of War,(2017),,125 min,"Biography, Drama, History ",8.4,
Your Name.,(2016),PG,106 min,"Animation, Drama, Fantasy ",8.4,79
Dangal,(2016),Not Rated,161 min,"Action, Biography, Drama ",8.4,
Spider-Man: Into the Spider-Verse,(2018),PG,117 min,"Animation, Action, Adventure ",8.4,87
Avengers: Endgame,(2019),PG-13,181 min,"Action, Adventure, Drama ",8.4,78
Avengers: Infinity War,(2018),PG-13,149 min,"Action, Adventure, Sci-Fi ",8.4,68
Coco,(I) (2017),PG,105 min,"Animation, Adventure, Family ",8.4,81
Django Unchained,(2012),R,165 min,"Drama, Western ",8.4,81
The Dark Knight Rises,(2012),PG-13,164 min,"Action, Adventure ",8.4,78
3 Idiots,(2009),PG-13,170 min,"Comedy, Drama ",8.4,67
Like Stars on Earth,(2007),PG,165 min,"Drama, Family ",8.4,
WALL·E,(2008),G,98 min,"Animation, Adventure, Family ",8.4,95
The Lives of Others,(2006),R,137 min,"Drama, Mystery, Thriller ",8.4,89
Oldboy,(2003),R,120 min,"Action, Drama, Mystery ",8.4,77
Memento,(2000),R,113 min,"Mystery, Thriller ",8.4,80
Princess Mononoke,(1997),PG-13,134 min,"Animation, Adventure, Fantasy ",8.4,76
Once Upon a Time in America,(1984),R,229 min,"Crime, Drama ",8.4,
Raiders of the Lost Ark,(1981),PG,115 min,"Action, Adventure ",8.4,85
The Shining,(1980),R,146 min,"Drama, Horror ",8.4,66
Apocalypse Now,(1979),R,147 min,"Drama, Mystery, War ",8.4,94
Alien,(1979),R,117 min,"Horror, Sci-Fi ",8.4,89
Anand,(1971),Not Rated,122 min,"Drama, Musical ",8.4,
High and Low,(1963),Not Rated,143 min,"Crime, Drama, Mystery ",8.4,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),PG,95 min,Comedy ,8.4,97
Witness for the Prosecution,(1957),Approved,116 min,"Crime, Drama, Mystery ",8.4,
Paths of Glory,(1957),Approved,88 min,"Drama, War ",8.4,90
Rear Window,(1954),PG,112 min,"Mystery, Thriller ",8.4,100
Sunset Blvd.,(1950),Passed,110 min,"Drama, Film-Noir ",8.4,
The Great Dictator,(1940),Passed,125 min,"Comedy, Drama, War ",8.4,
1917,(2019),R,119 min,"Drama, War ",8.3,78
Uri: The Surgical Strike,(2018),Not Rated,138 min,"Action, Drama, War ",8.3,
Tumbbad,(2018),Not Rated,104 min,"Drama, Fantasy, Horror ",8.3,
Andhadhun,(2018),Not Rated,139 min,"Crime, Drama, Music ",8.3,
Drishyam,(2013),Not Rated,160 min,"Crime, Drama, Thriller ",8.3,
The Hunt,(2012),R,115 min,Drama ,8.3,77
A Separation,(2011),PG-13,123 min,"Drama, Thriller ",8.3,95
Incendies,(2010),R,131 min,"Drama, Mystery, War ",8.3,80
7 Kogustaki Mucize,(2019),TV-14,132 min,Drama ,8.3,
My Father and My Son,(2005),,112 min,"Drama, Family ",8.3,
Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy ",8.3,92
Inglourious Basterds,(2009),R,153 min,"Adventure, Drama, War ",8.3,69
Eternal Sunshine of the Spotless Mind,(2004),R,108 min,"Drama, Romance, Sci-Fi ",8.3,89
Amélie,(2001),R,122 min,"Comedy, Romance ",8.3,69
Snatch,(2000),R,102 min,"Comedy, Crime ",8.3,55
Requiem for a Dream,(2000),R,102 min,Drama ,8.3,68
American Beauty,(1999),R,122 min,Drama ,8.3,84
Good Will Hunting,(1997),R,126 min,"Drama, Romance ",8.3,70
Children of Heaven,(1997),PG,89 min,"Drama, Family, Sport ",8.3,77
Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy ",8.3,95
Braveheart,(1995),R,178 min,"Biography, Drama, History ",8.3,68
Reservoir Dogs,(1992),R,99 min,"Crime, Drama, Thriller ",8.3,79
Full Metal Jacket,(1987),R,116 min,"Drama, War ",8.3,76
Come and See,(1985),Not Rated,142 min,"Drama, Thriller, War ",8.3,
Aliens,(1986),R,137 min,"Action, Adventure, Sci-Fi ",8.3,84
Amadeus,(1984),R,160 min,"Biography, Drama, History ",8.3,88
Scarface,(1983),R,170 min,"Crime, Drama ",8.3,65
Star Wars: Episode VI - Return of the Jedi,(1983),PG,131 min,"Action, Adventure, Fantasy ",8.3,58
Das Boot,(1981),R,149 min,"Adventure, Drama, Thriller ",8.3,86
Taxi Driver,(1976),R,114 min,"Crime, Drama ",8.3,94
